fact_unit,2023-11-09,2024-02-08,2024-05-29,2024-08-01,2024-11-07,2025-02-05,2025-05-28,2025-07-30,2025-11-05
NetCashProvidedByUsedInInvestingActivities / USD,-118000000.0,-117000000.0,-619000000.0,-177000000.0,-223000000.0,-346000000.0,-138000000.0,-74000000.0,1000000.0
NetCashProvidedByUsedInOperatingActivities / USD,-155000000.0,256000000.0,458000000.0,-114000000.0,113000000.0,423000000.0,739000000.0,-290000000.0,-284000000.0
NetIncomeLoss / USD,339000000.0,521000000.0,549000000.0,105000000.0,-5000000.0,82000000.0,524000000.0,223000000.0,330000000.0
NoncurrentAssets / USD,,,391000000.0,,,,420000000.0,,
NotesReceivableNet / USD,21000000.0,21000000.0,21000000.0,19000000.0,19000000.0,19000000.0,19000000.0,18000000.0,18000000.0
NumberOfOperatingSegments / segment,,,,,,,1.0,1.0,1.0
NumberOfReportingUnits / reporting_unit,,,1.0,,,,1.0,,
OperatingExpenses / USD,795000000.0,1246000000.0,1939000000.0,533000000.0,1449000000.0,2103000000.0,1902000000.0,724000000.0,1472000000.0
OperatingIncomeLoss / USD,477000000.0,721000000.0,633000000.0,111000000.0,-45000000.0,89000000.0,671000000.0,182000000.0,246000000.0
OperatingLeaseExpense / USD,,,40000000.0,,,,34300000.0,,
OperatingLeaseLiability / USD,,,221000000.0,,,,346000000.0,,
OperatingLeaseLiabilityCurrent / USD,26000000.0,26000000.0,26000000.0,27000000.0,27000000.0,27000000.0,27000000.0,30000000.0,30000000.0
OperatingLeaseLiabilityNoncurrent / USD,193000000.0,193000000.0,193000000.0,194000000.0,194000000.0,194000000.0,194000000.0,316000000.0,316000000.0
OperatingLeasePayments / USD,,,42000000.0,,,,47000000.0,,
OperatingLeaseRightOfUseAsset / USD,206000000.0,206000000.0,206000000.0,205000000.0,205000000.0,205000000.0,205000000.0,320000000.0,320000000.0
OperatingLeaseRightOfUseAssetAmortizationExpense / USD,17000000.0,26000000.0,41000000.0,8000000.0,17000000.0,26000000.0,34000000.0,9000000.0,18000000.0
OperatingLeaseWeightedAverageDiscountRatePercent / pure,,,0.0242,,,,0.0258,,
OperatingLossCarryforwards / USD,,,376600000.0,,,,388900000.0,,
OtherAssetsNoncurrent / USD,202000000.0,202000000.0,202000000.0,270000000.0,270000000.0,270000000.0,270000000.0,305000000.0,305000000.0
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent / USD,-71000000.0,-34000000.0,-31000000.0,6000000.0,-10000000.0,13000000.0,-31000000.0,-1000000.0,24000000.0
OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTaxParent / USD,-21000000.0,4000000.0,0.0,0.0,-14000000.0,-1000000.0,8000000.0,1000000.0,15000000.0
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent / USD,,,,,,,-23000000.0,39000000.0,39000000.0
OtherLiabilitiesCurrent / USD,293000000.0,293000000.0,293000000.0,835000000.0,835000000.0,835000000.0,835000000.0,426000000.0,426000000.0
OtherLiabilitiesNoncurrent / USD,38000000.0,38000000.0,38000000.0,61000000.0,61000000.0,61000000.0,61000000.0,79000000.0,79000000.0
OtherNoncashIncomeExpense / USD,2000000.0,6000000.0,-19000000.0,0.0,3000000.0,2000000.0,6000000.0,-1000000.0,-12000000.0
OtherNonoperatingIncomeExpense / USD,27000000.0,4000000.0,10000000.0,-1000000.0,13000000.0,-2000000.0,3000000.0,6000000.0,-13000000.0
OtherReceivablesNetCurrent / USD,,,,,40000000.0,40000000.0,40000000.0,46000000.0,46000000.0
OtherSundryLiabilitiesNoncurrent / USD,,,,,,,,39000000.0,39000000.0
PaymentsForProceedsFromOtherInvestingActivities / USD,,0.0,31000000.0,,,1000000.0,0.0,0.0,0.0
PaymentsRelatedToTaxWithholdingForShareBasedCompensation / USD,0.0,0.0,0.0,0.0,12000000.0,48000000.0,0.0,72000000.0,97000000.0
PaymentsToAcquireIntangibleAssets / USD,22000000.0,25000000.0,41000000.0,0.0,13000000.0,43000000.0,29000000.0,9000000.0,16000000.0
PaymentsToAcquireLongtermInvestments / USD,3000000.0,4000000.0,8000000.0,11000000.0,11000000.0,32000000.0,15000000.0,36000000.0,41000000.0
PaymentsToAcquirePropertyPlantAndEquipment / USD,38000000.0,48000000.0,34000000.0,26000000.0,60000000.0,81000000.0,64000000.0,29000000.0,82000000.0
PaymentsToAcquireShortTermInvestments / USD,665000000.0,985000000.0,750000000.0,260000000.0,385000000.0,540000000.0,1111000000.0,50000000.0,65000000.0
PrepaidExpenseAndOtherAssetsCurrent / USD,169000000.0,169000000.0,169000000.0,157000000.0,157000000.0,157000000.0,157000000.0,256000000.0,256000000.0
PrepaidExpenseCurrent / USD,,,,,49000000.0,49000000.0,49000000.0,107000000.0,107000000.0
ProceedsFromPaymentsForOtherFinancingActivities / USD,0.0,-1000000.0,-2000000.0,-5000000.0,-6000000.0,-10000000.0,-2000000.0,-4000000.0,-21000000.0
ProceedsFromSaleMaturityAndCollectionOfShorttermInvestments / USD,610000000.0,945000000.0,245000000.0,120000000.0,246000000.0,351000000.0,1081000000.0,50000000.0,205000000.0
PropertyPlantAndEquipmentGross / USD,,,658000000.0,,,,606000000.0,,
PropertyPlantAndEquipmentNet / USD,185000000.0,185000000.0,185000000.0,215000000.0,215000000.0,215000000.0,215000000.0,354000000.0,354000000.0
ProvisionForDoubtfulAccounts / USD,0.0,,28000000.0,16000000.0,16000000.0,17000000.0,-34000000.0,16000000.0,16000000.0
PurchaseObligation / USD,,,340000000.0,,,,912000000.0,,
ResearchAndDevelopmentExpense / USD,466000000.0,752000000.0,995000000.0,337000000.0,963000000.0,1395000000.0,1133000000.0,485000000.0,992000000.0
RestructuringCharges / USD,,,25800000.0,,,,1500000.0,,
RetainedEarningsAccumulatedDeficit / USD,2457000000.0,2457000000.0,2457000000.0,2751000000.0,2751000000.0,2751000000.0,2751000000.0,3543000000.0,3543000000.0
RevenueFromContractWithCustomerExcludingAssessedTax / USD,1322000000.0,2046000000.0,2703000000.0,675000000.0,1481000000.0,2305000000.0,2679000000.0,939000000.0,1783000000.0
RevenueRemainingPerformanceObligation / USD,2414500000.0,2433000000.0,2484400000.0,2167800000.0,2385000000.0,2324600000.0,2225500000.0,2232400000.0,2245900000.0
RightOfUseAssetObtainedInExchangeForFinanceLeaseLiability / USD,,,,,,,,4000000.0,33000000.0
RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability / USD,2000000.0,6000000.0,3000000.0,7000000.0,13000000.0,18000000.0,16000000.0,37000000.0,42000000.0
SellingGeneralAndAdministrativeExpense / USD,325000000.0,488000000.0,897000000.0,196000000.0,486000000.0,702000000.0,762000000.0,239000000.0,480000000.0
ShareBasedCompensation / USD,47000000.0,85000000.0,26000000.0,140000000.0,653000000.0,852000000.0,79000000.0,182000000.0,400000000.0
SharesPaidForTaxWithholdingForShareBasedCompensation / shares,,,,,,2000000.0,,,
ShortTermInvestments / USD,661000000.0,661000000.0,661000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,740000000.0,740000000.0
StockholdersEquity / USD,3548000000.0,3548000000.0,4050000000.0,4051000000.0,4051000000.0,4051000000.0,3548000000.0,5295000000.0,5295000000.0
TaxesPayableCurrent / USD,162000000.0,162000000.0,162000000.0,147000000.0,147000000.0,147000000.0,147000000.0,124000000.0,124000000.0
UnrecognizedTaxBenefits / USD,,,75000000.0,,,,54000000.0,,
UnrecognizedTaxBenefitsDecreasesResultingFromForeignCurrencyTranslation / USD,,,1000000.0,,,,3000000.0,,
UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions / USD,,,0.0,,,,0.0,,
UnrecognizedTaxBenefitsDecreasesResultingFromSettlementsWithTaxingAuthorities / USD,,,28000000.0,,,,1000000.0,,
