fact_unit,2019-04-24,2020-04-24,2020-11-16,2021-04-30,2022-04-25,2023-04-26,2024-04-25,2025-04-28
HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingGain / CNY,,0.0,,0.0,0.0,0.0,0.0,0.0
HeldToMaturitySecuritiesAccumulatedUnrecognizedHoldingLoss / CNY,,0.0,,0.0,,,,
HeldToMaturitySecuritiesCurrent / CNY,,7630689000.0,,34481053000.0,61549143000.0,,,
HeldToMaturitySecuritiesCurrent / USD,,4952893000.0,,9432819000.0,13527177000.0,,,
ImpairmentOfIntangibleAssetsFinitelived / CNY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ImpairmentOfInvestments / CNY,0.0,10000000.0,0.0,0.0,0.0,,,
ImpairmentOfLongLivedAssetsToBeDisposedOf / CNY,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest / CNY,-291977000.0,-525115000.0,,-10217125000.0,-6967603000.0,-7179742000.0,9702255000.0,36263729000.0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest / USD,-1486020000.0,-1000834000.0,,-1100344000.0,1522496000.0,5257746000.0,10123586000.0,18180002000.0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments / CNY,,-525115000.0,-5207748000.0,-10217125000.0,-6996279000.0,-7263396000.0,9455427000.0,36419014000.0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments / USD,,-1004953000.0,-859996000.0,-1113165000.0,1483763000.0,5280260000.0,10124249000.0,18177642000.0
IncomeLossFromEquityMethodInvestments / CNY,,28676000.0,-8218000.0,28676000.0,28676000.0,83654000.0,246828000.0,-155285000.0
IncomeLossFromEquityMethodInvestments / USD,,4119000.0,5249000.0,12821000.0,38733000.0,-22514000.0,-663000.0,2360000.0
IncomeTaxExpenseBenefit / CNY,,,0.0,0.0,0.0,0.0,1933585000.0,4725667000.0
