fact_unit,2016-08-02,2016-10-27,2017-02-28,2017-04-27,2017-07-27,2017-10-26,2018-02-28,2018-04-26,2018-07-26,2018-10-25,2019-02-28,2019-04-25,2019-07-25,2019-10-25,2020-02-27,2020-04-30,2020-07-28,2020-10-27,2021-02-26,2021-04-29,2021-07-29,2021-10-28,2022-03-01,2022-04-28,2022-07-28,2022-10-26,2023-02-28,2023-04-26,2023-07-26,2023-10-25,2024-02-27,2024-04-24,2024-07-24,2024-10-30,2025-02-25,2025-05-01,2025-07-30,2025-10-29
DefinedBenefitPensionPlanLiabilitiesCurrent / USD,,,11000000.0,,,,9900000.0,,,,10000000.0,,,,7800000.0,,,,3600000.0,,,,4500000.0,,,,4500000.0,,,,4400000.0,,,,4600000.0,,,
DefinedBenefitPensionPlanLiabilitiesNoncurrent / USD,,,119200000.0,,,,127400000.0,,,,126500000.0,,,,117600000.0,,,,143200000.0,,,,167100000.0,,,,133900000.0,,,,77900000.0,,,,88700000.0,,,
DefinedContributionPlanCostRecognized / USD,,,24000000.0,,,,26000000.0,,,,43000000.0,,,,45000000.0,,,,38000000.0,,,,48000000.0,,,,51000000.0,,,,57000000.0,,,,60000000.0,,,
Depreciation / USD,44000000.0,65700000.0,87800000.0,21500000.0,44100000.0,66700000.0,88100000.0,23400000.0,47200000.0,72400000.0,75600000.0,31000000.0,61100000.0,91200000.0,93300000.0,29700000.0,62700000.0,97700000.0,69700000.0,20200000.0,42300000.0,60300000.0,80500000.0,19500000.0,37700000.0,56100000.0,74100000.0,21500000.0,41900000.0,61600000.0,74700000.0,20400000.0,42100000.0,63900000.0,83500000.0,23100000.0,46200000.0,45700000.0
DepreciationDepletionAndAmortization / USD,,,178000000.0,,,,176900000.0,,,,160900000.0,,,,158300000.0,,,,174200000.0,,,,341500000.0,,,,384000000.0,,,,395500000.0,,,,465600000.0,136800000.0,273300000.0,322800000.0
DividendsCommonStockCash / USD,,24200000.0,48400000.0,,,,97200000.0,,24300000.0,24300000.0,24300000.0,24300000.0,24300000.0,24300000.0,24300000.0,23400000.0,23400000.0,23400000.0,23400000.0,23500000.0,23500000.0,23500000.0,23500000.0,23700000.0,23700000.0,23700000.0,23700000.0,25100000.0,25100000.0,25100000.0,25100000.0,24700000.0,24700000.0,24700000.0,,,,
EarningsPerShareBasic / USD/shares,,1.82,2.56,0.53,1.22,1.87,2.5,0.58,1.27,2.04,2.52,0.75,1.59,2.24,3.01,0.44,0.91,1.47,8.33,0.07,0.41,1.03,1.99,0.27,0.76,1.18,4.58,0.46,0.94,1.48,1.64,0.49,1.08,1.7,2.12,0.59,1.15,1.78
EarningsPerShareDiluted / USD/shares,,1.82,2.56,0.53,1.22,1.87,2.5,0.57,1.25,2.01,2.51,0.74,1.57,2.21,2.96,0.43,0.9,1.46,8.21,0.07,0.4,1.02,1.97,0.27,0.75,1.17,4.49,0.45,0.93,1.46,1.63,0.49,1.07,1.69,2.1,0.58,1.13,1.76
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,15800000.0,-21400000.0,-36300000.0,52500000.0,7100000.0,7900000.0,-11600000.0,-40600000.0,-28300000.0,-18700000.0,-2700000.0,7100000.0,-6500000.0,-400000.0,-4200000.0,27400000.0,700000.0,-24000000.0,-46300000.0,-3000000.0,1100000.0,-9500000.0,-11400000.0,-37800000.0,-10400000.0,-13000000.0,-5600000.0
EffectiveIncomeTaxRateContinuingOperations / pure,0.315,0.326,0.309,0.308,0.277,0.266,0.32,0.267,0.264,0.252,0.267,0.157,0.161,0.164,0.176,0.148,0.145,0.135,0.134,0.242,0.206,0.177,0.204,0.059,0.1,0.111,0.037,0.135,0.153,0.144,0.093,0.157,0.161,0.158,0.135,0.114,0.13,0.113
