fact_unit,2017-11-13,2018-03-28,2018-05-04,2018-08-02,2018-11-01,2019-02-14,2019-05-01,2019-07-31,2019-10-31,2020-02-20,2020-04-30,2020-07-29,2020-10-28,2021-02-18,2021-04-29,2021-07-28,2021-10-27,2022-02-23,2022-05-04,2022-07-27,2022-10-27,2023-02-23,2023-05-01,2023-07-26,2023-10-25,2024-02-22,2024-05-01,2024-07-31,2024-10-31,2025-02-20,2025-04-30,2025-07-30,2025-10-30
IncomeTaxReconciliationForeignIncomeTaxRateDifferential / USD,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate / USD,,15414000.0,,,,15414000.0,,,,15414000.0,,,,112326000.0,,,,116757000.0,,,,188378000.0,,,,215469000.0,,,,239220000.0,,,
IncomeTaxReconciliationNondeductibleExpense / USD,,,,,,0.0,,,,0.0,,,,37000.0,,,,-199000.0,,,,-4000.0,,,,11000.0,,,,77000.0,,,
IncomeTaxReconciliationStateAndLocalIncomeTaxes / USD,,5000.0,,,,5000.0,,,,5000.0,,,,187000.0,,,,542000.0,,,,296000.0,,,,1444000.0,,,,648000.0,,,
IncomeTaxesPaid / USD,,0.0,0.0,1024000.0,1174000.0,0.0,0.0,1024000.0,1174000.0,0.0,700000.0,1500000.0,2100000.0,1375000.0,0.0,0.0,561000.0,2590000.0,0.0,1790000.0,1790000.0,561000.0,2000.0,2086000.0,2306000.0,1790000.0,0.0,3746000.0,4896000.0,3024000.0,0.0,3338000.0,3338000.0
IncreaseDecreaseInAccruedLiabilities / USD,,,,,,,,,,,,,,,,,,,-92513000.0,-93816000.0,-94542000.0,,-7170000.0,18767000.0,50676000.0,-88127000.0,-12282000.0,-24246000.0,-14230000.0,52261000.0,-39510000.0,-10670000.0,-39573000.0
IncreaseDecreaseInOtherCurrentAssets / USD,,0.0,-200000.0,3679000.0,19609000.0,0.0,-200000.0,3679000.0,19609000.0,7159000.0,3215000.0,6924000.0,5952000.0,22945000.0,-1111000.0,-596000.0,-841000.0,5635000.0,1539000.0,7675000.0,-2694000.0,3065000.0,2057000.0,5287000.0,4052000.0,-830000.0,-1380000.0,-2248000.0,-134000.0,5673000.0,5026000.0,20005000.0,5910000.0
IncreaseDecreaseInOtherDeferredLiability / USD,,,,,,,,,,,,,,,,,,,433000.0,5712000.0,1847000.0,,73000.0,-147000.0,-171000.0,,-1521000.0,-2815000.0,-6061000.0,-142000.0,-1524000.0,3125000.0,-178000.0
IncrementalCommonSharesAttributableToEquityForwardAgreements / shares,,,,,,,,0.0,0.0,,0.0,70000.0,1665000.0,0.0,0.0,4326000.0,3656000.0,3516000.0,7397000.0,12100000.0,13350000.0,4356000.0,2993000.0,1496376.0,1188310.0,11675000.0,1232000.0,805000.0,537000.0,1213000.0,495000.0,247000.0,508000.0
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements / shares,,,,37000.0,45000.0,,156000.0,37000.0,45000.0,,301000.0,363000.0,263000.0,91000.0,0.0,232000.0,323000.0,566000.0,924000.0,934000.0,920000.0,412000.0,581000.0,698797.0,795370.0,924000.0,1073000.0,884000.0,790000.0,955000.0,412000.0,361000.0,467000.0
InterestAndDividendIncomeOperating / USD,,,,,,,,,,,0.0,0.0,0.0,0.0,12843000.0,29869000.0,82696000.0,0.0,70377000.0,140373000.0,210578000.0,153017000.0,72878000.0,334599000.0,685544000.0,283242000.0,371069000.0,744201000.0,1122703000.0,1041229000.0,409301000.0,823036000.0,1242151000.0
InterestExpenseNonoperating / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,407954000.0,612881000.0,539953000.0,204882000.0,410659000.0,617976000.0
InterestPaidNet / USD,,,,,150407000.0,36779000.0,47135000.0,107822000.0,150407000.0,36779000.0,41601000.0,105484000.0,148992000.0,213309000.0,38784000.0,113974000.0,188728000.0,209379000.0,69704000.0,140738000.0,272574000.0,262464000.0,48921000.0,152794000.0,290119000.0,323219000.0,178047000.0,376693000.0,563935000.0,466806000.0,217967000.0,381316000.0,595391000.0
InterestReceivable / USD,,,,,,,886000.0,886000.0,886000.0,886000.0,1626000.0,1626000.0,1626000.0,1626000.0,2746000.0,2746000.0,2746000.0,2746000.0,2780000.0,2780000.0,2780000.0,2780000.0,6911000.0,6911000.0,6911000.0,6911000.0,9351000.0,9351000.0,9351000.0,9351000.0,7180000.0,7180000.0,7180000.0
