fact_unit,2019-05-03,2019-07-25,2019-10-25,2020-02-07,2020-05-01,2020-07-24,2020-10-23,2021-02-05,2021-04-23,2021-07-23,2021-10-22,2022-02-04,2022-04-22,2022-07-22,2022-10-21,2023-02-01,2023-04-26,2023-07-26,2023-10-25,2024-01-31,2024-04-26,2024-07-26,2024-10-25,2025-02-04,2025-04-25,2025-07-25,2025-10-24
DebtSecuritiesAvailableForSaleRealizedLoss / USD,,,,,,,,,,,25000000.0,18000000.0,5000000.0,6000000.0,8000000.0,40000000.0,13000000.0,30000000.0,42000000.0,12000000.0,9000000.0,13000000.0,18000000.0,45000000.0,5000000.0,12000000.0,15000000.0
DebtSecuritiesAvailableForSaleUnrealizedLossPosition / USD,,,,,,,,,,,,15000000.0,,,,48000000.0,,,,292000000.0,,,,298000000.0,,,
DeferredFederalIncomeTaxExpenseBenefit / USD,,-1029000000.0,,1499000000.0,,,,-318000000.0,,,,52000000.0,,,,184000000.0,,,,130000000.0,,,,63000000.0,,,
DeferredForeignIncomeTaxExpenseBenefit / USD,,79000000.0,,-171000000.0,,,,-79000000.0,,,,-299000000.0,,,,55000000.0,,,,122000000.0,,,,15000000.0,,,
DeferredIncomeTaxAssetsNet / USD,2031000000.0,1779000000.0,1779000000.0,,,,,2213000000.0,2215000000.0,2215000000.0,2215000000.0,2215000000.0,1358000000.0,1358000000.0,1358000000.0,1358000000.0,960000000.0,960000000.0,960000000.0,960000000.0,1486000000.0,1486000000.0,1486000000.0,1486000000.0,1257000000.0,1257000000.0,1257000000.0
DeferredIncomeTaxExpenseBenefit / USD,-67000000.0,-1009000000.0,5000000.0,1413000000.0,-72000000.0,-63000000.0,-146000000.0,-429000000.0,-57000000.0,-59000000.0,-198000000.0,-228000000.0,144000000.0,388000000.0,488000000.0,258000000.0,253000000.0,348000000.0,124000000.0,278000000.0,-418000000.0,-589000000.0,-817000000.0,79000000.0,7000000.0,28000000.0,-134000000.0
DeferredIncomeTaxLiabilities / USD,,4533000000.0,,4337000000.0,,,,4520000000.0,,,,4748000000.0,,,,4530000000.0,,,,4384000000.0,,,,4132000000.0,,,
DeferredIncomeTaxLiabilitiesNet / USD,664000000.0,501000000.0,501000000.0,,,,,347000000.0,405000000.0,405000000.0,405000000.0,405000000.0,506000000.0,506000000.0,506000000.0,506000000.0,1110000000.0,1110000000.0,1110000000.0,1110000000.0,399000000.0,399000000.0,399000000.0,399000000.0,392000000.0,392000000.0,392000000.0
DeferredStateAndLocalIncomeTaxExpenseBenefit / USD,,-59000000.0,,85000000.0,,,,-32000000.0,,,,19000000.0,,,,19000000.0,,,,26000000.0,,,,1000000.0,,,
DeferredTaxAssetsGoodwillAndIntangibleAssets / USD,,126000000.0,,157000000.0,,,,120000000.0,,,,124000000.0,,,,108000000.0,,,,36000000.0,,,,2090000000.0,,,
