fact_unit,2022-03-31,2022-06-13,2022-08-19,2022-11-22,2023-04-14,2023-05-18,2023-08-09,2023-11-07,2024-04-29,2024-11-05,2025-03-20,2025-05-06,2025-08-05,2025-11-12
NoncurrentPrepayments / USD,0.0,199000000.0,199000000.0,199000000.0,199000000.0,235000000.0,235000000.0,235000000.0,235000000.0,213000000.0,213000000.0,180000000.0,180000000.0,180000000.0
NoncurrentProvisions / USD,353308000.0,233000000.0,233000000.0,233000000.0,233000000.0,196000000.0,196000000.0,196000000.0,196000000.0,186000000.0,186000000.0,197000000.0,197000000.0,197000000.0
NumberOfInstrumentsThatAreAntidilutiveInPeriodPresented / shares,,,,,,,,,22000000.0,,6000000.0,,,
NumberOfOutstandingShareOptions / shares,,,,,22286278.0,,,,21749558.0,,6300000.0,,,
NumberOfPotentialOrdinarySharesThatAreAntidilutiveInPeriodPresented / shares,,,,,,,,,,,3000000.0,,,
NumberOfShareOptionsExercisableInSharebasedPaymentArrangement / shares,,,,,4873406.0,,,,1485670.0,,500000.0,,,
NumberOfShareOptionsExercisedInSharebasedPaymentArrangement / shares,,,,,,,,,14956321.0,,4500000.0,,,
NumberOfShareOptionsForfeitedInSharebasedPaymentArrangement / shares,,,,,1532129.0,,,,532634.0,,200000.0,,,
NumberOfSharesIssued / shares,500000000.0,,,545073000.0,531846000.0,547755000.0,547755000.0,547755000.0,547755000.0,553548190.0,553548190.0,552912823.0,552912823.0,552912823.0
NumberOfSharesOutstanding / shares,500000000.0,531846000.0,531846000.0,531846000.0,531846000.0,547755000.0,547755000.0,547755000.0,547755000.0,553548190.0,553548190.0,552912823.0,552912823.0,552912823.0
OperatingExpense / USD,1028602000.0,194000000.0,528000000.0,776000000.0,921000000.0,244000000.0,485000000.0,738000000.0,1073000000.0,750000000.0,1072000000.0,246000000.0,486000000.0,715000000.0
OtherCashAndCashEquivalents / USD,,,,,0.0,,,,1362000000.0,,1897000000.0,,,
OtherComponentsOfDeferredTaxExpenseIncome / USD,10338000.0,,,,37000000.0,,,,-36000000.0,,11000000.0,,,
OtherComprehensiveIncome / USD,10704000.0,-28000000.0,-23000000.0,-44000000.0,-4000000.0,75000000.0,-3000000.0,-9000000.0,-54000000.0,-38000000.0,137000000.0,-28000000.0,-28000000.0,20000000.0
