fact_unit,2023-11-07,2024-02-27,2024-05-08,2024-08-08,2024-11-06,2025-02-26,2025-03-19,2025-05-08,2025-08-06,2025-11-05
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour / USD,,216071000.0,,,,192902000.0,239485000.0,214904000.0,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree / USD,,233480000.0,,,,209561000.0,259697000.0,232874000.0,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo / USD,,243562000.0,,,,241443000.0,275053000.0,267586000.0,,
FiniteLivedIntangibleAssetsGross / USD,1074370000.0,1074370000.0,4291474000.0,4291474000.0,4291474000.0,4291474000.0,1596400000.0,4804685000.0,,
FiniteLivedIntangibleAssetsNet / USD,475765000.0,475765000.0,3563663000.0,3563663000.0,3563663000.0,3563663000.0,749245000.0,3787433000.0,,
ForeignCurrencyTransactionGainBeforeTax / USD,,,,,,,,14800000.0,,
ForeignCurrencyTransactionGainLossBeforeTax / USD,,,,,,,-16612000.0,-16612000.0,-2445000.0,21802000.0
ForeignCurrencyTransactionLossBeforeTax / USD,,400000.0,,,,1300000.0,33400000.0,33400000.0,,
GainLossOnDerivativeInstrumentsNetPretax / USD,,,,,,,,800000.0,,
GainLossOnSaleOfInvestments / USD,,,,,,,,-3399000.0,-1054000.0,
GainLossOnSaleOfPropertyPlantEquipment / USD,,,,,,,,1300000.0,1300000.0,1300000.0
GainsLossesOnSalesOfAssets / USD,,,,,,,5875000.0,5875000.0,-83000000.0,-83000000.0
Goodwill / USD,2602639000.0,2602639000.0,7666485000.0,7666485000.0,7666485000.0,2602639000.0,3386249000.0,3388009000.0,8441993000.0,8441993000.0
GoodwillAcquiredDuringPeriod / USD,5041414000.0,5063774000.0,,,,5063774000.0,2909000.0,5063774000.0,,
GoodwillAndIntangibleAssetImpairment / USD,,,,,,,,21529000.0,,
GoodwillForeignCurrencyTranslationGainLoss / USD,,72000.0,-337000.0,-1205000.0,-2493000.0,72000.0,-1149000.0,161000.0,,
GoodwillImpairedAccumulatedImpairmentLoss / USD,,,,,,,108600000.0,116100000.0,,
GoodwillImpairmentLoss / USD,0.0,0.0,0.0,0.0,0.0,0.0,7500000.0,7500000.0,0.0,0.0
GoodwillImpairmentLossNetOfTax / USD,,,,,,,7544000.0,7544000.0,,
