fact_unit,2010-08-09,2010-11-05,2011-03-01,2011-05-06,2011-08-03,2011-11-01,2012-02-29,2012-04-26,2012-07-26,2012-10-30,2013-03-01,2013-04-25,2013-08-08,2013-11-07,2014-02-25,2014-05-01,2014-07-31,2014-10-28,2015-02-19,2015-04-28,2015-07-30,2015-10-27,2016-02-17,2016-04-26,2016-07-27,2016-10-24,2017-02-14,2017-04-24,2017-07-20,2017-10-23,2018-01-22,2018-02-08,2018-05-01,2018-06-18,2018-08-01,2018-10-30,2019-02-07,2019-04-25,2019-07-26,2019-10-28,2020-02-06,2020-05-06,2020-08-06,2020-08-10,2020-11-05,2021-02-23,2021-05-04,2021-08-03,2021-11-02,2022-02-11,2022-05-06,2022-07-29,2022-10-27,2023-02-14,2023-04-27,2023-07-27,2023-10-25,2024-02-02,2024-04-26,2024-07-31,2024-10-23,2025-01-31,2025-04-24,2025-07-23,2025-10-23
FinanceLeaseLiabilityPaymentsDueInRollingYearFour / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115000000.0,126000000.0,102000000.0,101000000.0,97000000.0,92000000.0,,89000000.0,137000000.0,,,150000000.0,128000000.0,101000000.0,76000000.0,54000000.0,48000000.0,,,,35000000.0,,,,25000000.0,,,26000000.0
FinanceLeaseLiabilityPaymentsDueInRollingYearThree / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380000000.0,430000000.0,467000000.0,414000000.0,369000000.0,445000000.0,,426000000.0,422000000.0,,,555000000.0,505000000.0,495000000.0,569000000.0,544000000.0,411000000.0,,,,392000000.0,,,,357000000.0,,,370000000.0
FinanceLeaseLiabilityPaymentsDueInRollingYearTwo / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644000000.0,713000000.0,764000000.0,733000000.0,722000000.0,805000000.0,,792000000.0,795000000.0,,,846000000.0,800000000.0,835000000.0,951000000.0,999000000.0,923000000.0,,,,836000000.0,,,,809000000.0,,,816000000.0
FinanceLeaseLiabilityUndiscountedExcessAmount / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146000000.0,162000000.0,159000000.0,144000000.0,138000000.0,128000000.0,,117000000.0,121000000.0,,,91000000.0,84000000.0,80000000.0,82000000.0,91000000.0,97000000.0,,,,108000000.0,,,,111000000.0,,,104000000.0
FinanceLeasePrincipalPayments / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550000000.0,798000000.0,282000000.0,518000000.0,764000000.0,798000000.0,287000000.0,556000000.0,822000000.0,1021000000.0,302000000.0,590000000.0,901000000.0,1111000000.0,306000000.0,610000000.0,914000000.0,1239000000.0,327000000.0,678000000.0,1025000000.0
FinanceLeaseRightOfUseAsset / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2271000000.0,2271000000.0,2271000000.0,2715000000.0,2715000000.0,,2715000000.0,2715000000.0,3028000000.0,3028000000.0,3028000000.0,3028000000.0,3322000000.0,3322000000.0,3322000000.0,3322000000.0,3257000000.0,3257000000.0,3257000000.0,3257000000.0,3270000000.0,3270000000.0,3270000000.0,3270000000.0,3091000000.0,3091000000.0,3091000000.0
FinanceLeaseRightOfUseAssetAmortization / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113000000.0,230000000.0,376000000.0,523000000.0,113000000.0,230000000.0,,376000000.0,523000000.0,,,,523000000.0,173000000.0,348000000.0,553000000.0,681000000.0,,,,738000000.0,,,,733000000.0,,,588000000.0
FinanceLeaseWeightedAverageDiscountRatePercent / pure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045,0.039,0.043,0.04,0.039,0.035,,0.035,0.04,,,,0.04,,,,0.033,,,,0.025,,,,0.032,,,
FinancingReceivableAllowanceForCreditLosses / USD,,,,,,,,,,,,,,,,,,,,,116000000.0,116000000.0,116000000.0,148000000.0,148000000.0,148000000.0,148000000.0,121000000.0,121000000.0,121000000.0,148000000.0,121000000.0,132000000.0,121000000.0,132000000.0,132000000.0,132000000.0,119000000.0,119000000.0,119000000.0,119000000.0,100000000.0,100000000.0,,100000000.0,100000000.0,280000000.0,280000000.0,280000000.0,280000000.0,252000000.0,252000000.0,252000000.0,252000000.0,328000000.0,328000000.0,328000000.0,328000000.0,268000000.0,268000000.0,268000000.0,268000000.0,290000000.0,290000000.0,290000000.0
FinancingReceivableAllowanceForCreditLossesWriteOffs / USD,,,,,,,,,,,,,,,,,,,,,159000000.0,248000000.0,,,,,,,,,,482000000.0,114000000.0,482000000.0,212000000.0,304000000.0,518000000.0,81000000.0,160000000.0,241000000.0,393000000.0,93000000.0,164000000.0,,242000000.0,328000000.0,95000000.0,152000000.0,244000000.0,332000000.0,133000000.0,251000000.0,356000000.0,380000000.0,177000000.0,410000000.0,665000000.0,527000000.0,262000000.0,476000000.0,704000000.0,930000000.0,282000000.0,538000000.0,835000000.0
FinancingReceivableSignificantSales / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63000000.0,41000000.0,63000000.0,85000000.0,126000000.0,176000000.0,51000000.0,98000000.0,146000000.0,183000000.0,42000000.0,84000000.0,,127000000.0,185000000.0,36000000.0,81000000.0,111000000.0,167000000.0,35000000.0,73000000.0,104000000.0,145000000.0,26000000.0,63000000.0,107000000.0,135000000.0,54000000.0,107000000.0,151000000.0,,,,
FiniteLivedIntangibleAssetsAccumulatedAmortization / USD,,,,,,,,,,,,,243000000.0,243000000.0,243000000.0,476000000.0,476000000.0,476000000.0,476000000.0,,,,809000000.0,,,,861000000.0,,,,861000000.0,1081000000.0,,1081000000.0,,,1243000000.0,,,,1367000000.0,,1412000000.0,,1412000000.0,1412000000.0,1367000000.0,1367000000.0,1367000000.0,1367000000.0,,,,2192000000.0,,,,3399000000.0,,4282000000.0,4282000000.0,4282000000.0,5121000000.0,5121000000.0,5121000000.0
