fact_unit,2016-11-10,2017-02-16,2017-05-11,2017-08-11,2017-11-13,2018-02-28,2018-05-10,2018-08-09,2018-11-09,2019-02-22,2019-05-09,2019-08-09,2019-11-08,2020-02-28,2020-05-08,2020-08-07,2020-11-06,2021-02-19,2021-05-10,2021-08-09,2021-11-08,2022-02-16,2022-05-10,2022-08-09,2022-11-09,2023-02-15,2023-05-10,2023-08-09,2023-11-09,2024-02-15,2024-05-10,2024-08-08,2024-11-07,2025-02-21,2025-05-08,2025-08-07,2025-11-06
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsReserves / USD,,919000.0,,,,1774000.0,,,,1804000.0,,,,2465000.0,,,,3275000.0,,,,5521000.0,,,,6161000.0,,,,5428000.0,,,,8401000.0,,,
DeferredTaxAssetsValuationAllowance / USD,,326000.0,,,,326000.0,,,,,,,,199214000.0,,,,199214000.0,,,,242415000.0,,,,361614000.0,,,,381619000.0,,,,415829000.0,,,
DeferredTaxLiabilitiesLeasingArrangements / USD,,,,,,,,,,,,,,,,,,37394000.0,,,,55685000.0,,,,46435000.0,,,,45493000.0,,,,39826000.0,,,
DeferredTaxLiabilitiesPrepaidExpenses / USD,,244000.0,,,,484000.0,,,,580000.0,,,,559000.0,,,,685000.0,,,,1365000.0,,,,1674000.0,,,,1122000.0,,,,944000.0,,,
DeferredTaxLiabilitiesPropertyPlantAndEquipment / USD,,1226000.0,,,,2254000.0,,,,2026000.0,,,,4228000.0,,,,2606000.0,,,,14375000.0,,,,21924000.0,,,,29020000.0,,,,27952000.0,,,
DepreciationAndAmortization / USD,,300000.0,,,,1000000.0,,,,2400000.0,,,,5300000.0,,,,8100000.0,,,,14900000.0,,,,21000000.0,,,,34000000.0,,,,42000000.0,,,
DepreciationDepletionAndAmortization / USD,1123000.0,680000.0,819000.0,1653000.0,2612000.0,1828000.0,1493000.0,3189000.0,5157000.0,3798000.0,2251000.0,4830000.0,8107000.0,7209000.0,4456000.0,9277000.0,15246000.0,11822000.0,6477000.0,13260000.0,20777000.0,21662000.0,10011000.0,21017000.0,29969000.0,28632000.0,12350000.0,24624000.0,37581000.0,42219000.0,19293000.0,39359000.0,59889000.0,54425000.0,21742000.0,42624000.0,63378000.0
EarningsPerShareBasic / USD/shares,0.68,0.85,-4.45,-3.74,-3.23,0.85,0.13,0.6,0.85,-1.46,0.22,0.68,1.15,1.26,0.23,0.86,1.29,2.08,0.53,0.11,0.2,0.24,0.05,0.15,0.27,0.52,-0.03,-0.07,-0.04,0.29,0.02,0.09,0.17,0.11,0.06,0.24,0.43
EarningsPerShareDiluted / USD/shares,0.26,0.39,-4.45,-3.74,-3.23,0.39,0.11,0.54,0.77,-1.46,0.2,0.63,1.07,1.15,0.21,0.8,1.2,1.92,0.5,0.1,0.19,0.23,0.05,0.14,0.26,0.49,-0.03,-0.07,-0.04,0.28,0.02,0.08,0.16,0.11,0.06,0.23,0.42
EffectiveIncomeTaxRateContinuingOperations / pure,,1.005,,,,0.466,,,,0.533,,,,0.202,,,,0.167,,,,0.068,,,,-0.684,,,,-0.129,,,,0.581,,,
