fact_unit,2020-05-07,2020-05-12,2020-08-12,2020-11-10,2021-03-01,2021-04-30,2021-05-10,2021-08-09,2021-11-08,2022-02-28,2022-04-29,2022-05-09,2022-08-08,2022-11-07,2023-02-27,2023-04-28,2023-05-08,2023-08-07,2023-11-08,2024-02-28,2024-04-26,2024-05-09,2024-08-08,2024-11-07,2025-02-27,2025-04-30,2025-05-08,2025-08-07,2025-11-06
CommonStockSharesAuthorized / shares,1000.0,1000.0,1000.0,1000.0,1200000000.0,,3000000000.0,3000000000.0,3000000000.0,3000000000.0,,3000000000.0,3000000000.0,3000000000.0,3000000000.0,,3000000000.0,3000000000.0,3000000000.0,3000000000.0,,3000000000.0,3000000000.0,3000000000.0,3000000000.0,,3000000000.0,3000000000.0,3000000000.0
CommonStockValue / USD,1.0,1.0,0.0,0.0,6100000.0,,12100000.0,12100000.0,12100000.0,12100000.0,,12100000.0,12100000.0,12100000.0,12100000.0,,12100000.0,12100000.0,12100000.0,12100000.0,,12200000.0,12200000.0,12200000.0,12200000.0,,12300000.0,12300000.0,12300000.0
ComprehensiveIncomeNetOfTax / USD,0.0,0.0,0.0,0.0,,,-635500000.0,-167500000.0,619300000.0,,,-1565200000.0,-1663800000.0,-1619200000.0,,,82500000.0,-441800000.0,-947400000.0,,,221300000.0,244300000.0,373000000.0,,,-79700000.0,-440300000.0,-56600000.0
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest / USD,,,,,-720100000.0,,,,,-335500000.0,,,,,269300000.0,,,,,-2155400000.0,,,,,1061700000.0,,,,
CostOfGoodsAndServicesSold / USD,,,,,7432300000.0,,1713100000.0,3418600000.0,5232200000.0,7602900000.0,,3303000000.0,6553100000.0,9515600000.0,8149300000.0,,2420500000.0,4834000000.0,7163800000.0,12310800000.0,,2186900000.0,4496900000.0,6747500000.0,9765700000.0,,2159400000.0,4510600000.0,6802600000.0
DebtCurrent / USD,,,,,1457600000.0,,2256300000.0,2256300000.0,2256300000.0,2256300000.0,,1860300000.0,1860300000.0,1860300000.0,1860300000.0,,1250500000.0,1250500000.0,1250500000.0,1250500000.0,,1934700000.0,1934700000.0,1934700000.0,1934700000.0,,600000.0,600000.0,600000.0
DebtInstrumentCarryingAmount / USD,,,,,23947000000.0,,23663000000.0,22387000000.0,21085000000.0,20949000000.0,,20753000000.0,19387000000.0,18924000000.0,18714000000.0,,18029000000.0,18040000000.0,17860000000.0,17614000000.0,,17466000000.0,16609000000.0,15265000000.0,13580000000.0,,13724000000.0,14012000000.0,13989000000.0
DeferredIncomeTaxAssetsNet / USD,,,,,703100000.0,,2147900000.0,2147900000.0,2147900000.0,2147900000.0,,1332700000.0,1332700000.0,1332700000.0,1332700000.0,,925900000.0,925900000.0,925900000.0,925900000.0,,692900000.0,692900000.0,692900000.0,692900000.0,,753000000.0,753000000.0,753000000.0
DeferredIncomeTaxExpenseBenefit / USD,,,,0.0,-264300000.0,,-43900000.0,-119700000.0,-210400000.0,-192600000.0,,288400000.0,581600000.0,728600000.0,-213200000.0,,-52800000.0,-157600000.0,-179500000.0,675700000.0,,-26700000.0,-94900000.0,-179900000.0,-25900000.0,,-51900000.0,-206300000.0,-518700000.0
DeferredIncomeTaxLiabilities / USD,,,,,2058100000.0,,,,,4197400000.0,,,,,3591400000.0,,,,,3144600000.0,,,,,2777900000.0,,,,
DeferredIncomeTaxLiabilitiesNet / USD,,,,,1627500000.0,,3123700000.0,3123700000.0,3123700000.0,3123700000.0,,2815000000.0,2815000000.0,2815000000.0,2815000000.0,,2432000000.0,2432000000.0,2432000000.0,2432000000.0,,1735700000.0,1735700000.0,1735700000.0,1735700000.0,,1107900000.0,1107900000.0,1107900000.0
DeferredTaxAssetsGross / USD,,,,,1737200000.0,,,,,3665200000.0,,,,,2889500000.0,,,,,2025500000.0,,,,,2156500000.0,,,,
DeferredTaxAssetsInventory / USD,,,,,80100000.0,,,,,1187900000.0,,,,,187800000.0,,,,,159300000.0,,,,,143800000.0,,,,
DeferredTaxAssetsNet / USD,,,,,1133700000.0,,,,,3221600000.0,,,,,2109100000.0,,,,,1638500000.0,,,,,1735100000.0,,,,
DeferredTaxAssetsOperatingLossCarryforwards / USD,,,,,,,,,,,,,,,,,,,,,,,,,734600000.0,,,,
DeferredTaxAssetsOther / USD,,,,,121600000.0,,,,,396000000.0,,,,,327800000.0,,,,,209300000.0,,,,,326100000.0,,,,
DeferredTaxAssetsTaxCreditCarryforwards / USD,,,,,726200000.0,,,,,1080400000.0,,,,,1256000000.0,,,,,760300000.0,,,,,758200000.0,,,,
DeferredTaxAssetsTaxCreditCarryforwardsForeign / USD,,,,,,,,,,230300000.0,,,,,196100000.0,,,,,150800000.0,,,,,48000000.0,,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeBenefits / USD,,,,,182500000.0,,,,,273000000.0,,,,,271300000.0,,,,,129600000.0,,,,,148700000.0,,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAllowanceForDoubtfulAccounts / USD,,,,,201900000.0,,,,,393700000.0,,,,,425900000.0,,,,,446200000.0,,,,,413700000.0,,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsContingencies / USD,,,,,14700000.0,,,,,43500000.0,,,,,94400000.0,,,,,20500000.0,,,,,32200000.0,,,,
DeferredTaxAssetsValuationAllowance / USD,,,,,603500000.0,,,,,443600000.0,,,,,780400000.0,,,,,387000000.0,,,,,421400000.0,,,,
DeferredTaxLiabilities / USD,,,,,,,,,,975800000.0,,,,,1482300000.0,,,,,1506100000.0,,,,,1042800000.0,,,,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets / USD,,,,,1890800000.0,,,,,4058600000.0,,,,,3468300000.0,,,,,2880300000.0,,,,,2506200000.0,,,,
DeferredTaxLiabilitiesOther / USD,,,,,17100000.0,,,,,22100000.0,,,,,39900000.0,,,,,151500000.0,,,,,166400000.0,,,,
DeferredTaxLiabilitiesPropertyPlantAndEquipment / USD,,,,,87400000.0,,,,,50200000.0,,,,,19600000.0,,,,,56600000.0,,,,,54000000.0,,,,
DeferredTaxLiabilityNotRecognizedAmountOfUnrecognizedDeferredTaxLiabilityUndistributedEarningsOfForeignSubsidiaries / USD,,,,,3400000000.0,,,,,3400000000.0,,,,,2600000000.0,,,,,1180000000.0,,,,,1110000000.0,,,,
DefinedBenefitPensionPlanLiabilitiesNoncurrent / USD,,,,,408900000.0,,1020400000.0,1020400000.0,1020400000.0,1020400000.0,,876400000.0,876400000.0,876400000.0,876400000.0,,544600000.0,544600000.0,544600000.0,544600000.0,,504300000.0,504300000.0,504300000.0,504300000.0,,467900000.0,467900000.0,467900000.0
DefinedBenefitPlanAccumulatedBenefitObligation / USD,,,,,636300000.0,,,,,2040000000.0,,,,,1860000000.0,,,,,1310000000.0,,,,,1360000000.0,,,,
DefinedBenefitPlanCurtailments / USD,,,,,0.0,,,,,3200000.0,,,,,0.0,,,,,0.0,,,,,-3900000.0,,,,
DefinedBenefitPlanExpectedFutureEmployerContributionsRemainderOfFiscalYear / USD,,,,,,,72400000.0,70100000.0,70100000.0,,,52000000.0,52000000.0,52000000.0,,,51300000.0,51300000.0,51300000.0,,,61300000.0,61300000.0,61300000.0,,,68800000.0,68800000.0,68800000.0
DefinedBenefitPlanExpectedReturnOnPlanAssets / USD,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
DefinedBenefitPlanFairValueOfPlanAssets / USD,,,,,315700000.0,,,,,1354600000.0,,,,,1366400000.0,,,,,1067100000.0,,,,,1109400000.0,,,,
DefinedBenefitPlanHealthCareCostTrendRateAssumedNextFiscalYear / pure,,,,,0.067,,,,,0.057,,,,,0.063,,,,,0.069,,,,,0.086,,,,
DefinedBenefitPlanInterestCost / USD,,,,,1500000.0,,,,,1500000.0,,,,,1400000.0,,,,,2600000.0,,,,,3700000.0,,,,
DefinedBenefitPlanNetPeriodicBenefitCost / USD,,,,,2300000.0,,,,,5500000.0,,,,,2900000.0,,,,,6200000.0,,,,,2900000.0,,,,
DefinedBenefitPlanRecognizedNetGainLossDueToSettlements1 / USD,,,,,-200000.0,,,,,-200000.0,,,,,-300000.0,,,,,-200000.0,,,,,-300000.0,,,,
