fact_unit,2015-12-17,2016-03-10,2016-06-08,2016-09-08,2016-12-15,2017-03-09,2017-06-08,2017-09-07,2017-12-15,2018-03-09,2018-06-07,2018-09-04,2018-12-12,2019-03-05,2019-05-31,2019-08-30,2019-12-13,2020-03-09,2020-06-02,2020-09-03,2020-12-10,2021-03-04,2021-06-03,2021-09-03,2021-12-10,2022-03-03,2022-06-03,2022-09-01,2022-12-08,2023-03-07,2023-06-02,2023-09-01,2023-12-22,2024-03-05,2024-06-05,2024-09-05,2024-12-19,2025-03-07,2025-06-04,2025-09-04
GainLossOnSaleOfBusiness / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
Goodwill / USD,25945000000.0,27261000000.0,27261000000.0,27261000000.0,25960000000.0,24178000000.0,24178000000.0,24178000000.0,18948000000.0,17516000000.0,17516000000.0,17516000000.0,16090000000.0,17537000000.0,17537000000.0,17537000000.0,17516000000.0,18306000000.0,18306000000.0,18306000000.0,17537000000.0,18017000000.0,18017000000.0,18017000000.0,18306000000.0,18306000000.0,18306000000.0,18306000000.0,18306000000.0,17403000000.0,17403000000.0,17403000000.0,17403000000.0,17988000000.0,17988000000.0,17988000000.0,17988000000.0,18086000000.0,18086000000.0,18086000000.0
GoodwillAcquiredDuringPeriod / USD,12000000.0,,10000000.0,12000000.0,1987000000.0,76000000.0,1323000000.0,1313000000.0,2000000.0,,15000000.0,105000000.0,1427000000.0,49000000.0,48000000.0,48000000.0,104000000.0,,,,767000000.0,,,86000000.0,572000000.0,,,,,18000000.0,330000000.0,591000000.0,585000000.0,,,,98000000.0,,,7042000000.0
GoodwillAndIntangibleAssetImpairment / USD,,,,,,,,,,,,,0.0,,,,0.0,,,,88000000.0,,,,0.0,,,,865000000.0,,,,0.0,,,,905000000.0,,1400000000.0,1400000000.0
GoodwillImpairedAccumulatedImpairmentLoss / USD,13700000000.0,13700000000.0,13700000000.0,13700000000.0,13700000000.0,13700000000.0,,,,,,,,,,,,,,,953000000.0,953000000.0,953000000.0,953000000.0,953000000.0,953000000.0,,,1900000000.0,,,,1900000000.0,,,,1900000000.0,1800000000.0,3100000000.0,3100000000.0
GoodwillImpairmentLoss / USD,,,,,,,,,,,,,88000000.0,,,,0.0,,0.0,0.0,865000000.0,,865000000.0,865000000.0,865000000.0,,,,905000000.0,,,,0.0,,,,905000000.0,100000000.0,0.0,0.0
GoodwillPurchaseAccountingAdjustments / USD,,257000000.0,260000000.0,260000000.0,,-1000000.0,-2000000.0,-1000000.0,,,6000000.0,6000000.0,,2000000.0,2000000.0,2000000.0,,-1000000.0,3000000.0,1000000.0,,,,-11000000.0,4000000.0,-3000000.0,,2000000.0,2000000.0,,,,,,0.0,0.0,0.0,,,
GuaranteeObligationsMaximumExposure / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298000000.0,279000000.0,314000000.0,320000000.0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic / USD,1155000000.0,,,,878000000.0,,,,288000000.0,,,,-1758000000.0,,,,-1929000000.0,,,,-2805000000.0,,,,-1067000000.0,,,,-2008000000.0,,,,-1128000000.0,,,,-1138000000.0,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest / USD,2871000000.0,714000000.0,1112000000.0,1360000000.0,2244000000.0,319000000.0,743000000.0,3307000000.0,1935000000.0,335000000.0,448000000.0,573000000.0,3860000000.0,-657000000.0,-773000000.0,-308000000.0,272000000.0,655000000.0,1095000000.0,830000000.0,268000000.0,378000000.0,-533000000.0,-567000000.0,1553000000.0,205000000.0,493000000.0,899000000.0,-442000000.0,493000000.0,769000000.0,1233000000.0,3587000000.0,623000000.0,1145000000.0,1681000000.0,876000000.0,483000000.0,928000000.0,1536000000.0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign / USD,1716000000.0,,,,1366000000.0,,,,1647000000.0,,,,5618000000.0,,,,2201000000.0,,,,3073000000.0,,,,2620000000.0,,,,1566000000.0,,,,4715000000.0,,,,2014000000.0,,,
IncomeLossFromEquityMethodInvestments / USD,,,,-2000000.0,0.0,0.0,0.0,-72000000.0,-2000000.0,-22000000.0,-25000000.0,-24000000.0,-76000000.0,22000000.0,12000000.0,23000000.0,-23000000.0,15000000.0,18000000.0,21000000.0,38000000.0,33000000.0,23000000.0,50000000.0,20000000.0,26000000.0,30000000.0,109000000.0,67000000.0,31000000.0,64000000.0,132000000.0,180000000.0,58000000.0,107000000.0,180000000.0,215000000.0,46000000.0,88000000.0,161000000.0
IncomeTaxExaminationPenaltiesAndInterestAccrued / USD,152000000.0,269000000.0,269000000.0,269000000.0,269000000.0,423000000.0,394000000.0,394000000.0,197000000.0,304000000.0,304000000.0,304000000.0,304000000.0,142000000.0,142000000.0,142000000.0,142000000.0,129000000.0,129000000.0,129000000.0,129000000.0,119000000.0,119000000.0,119000000.0,119000000.0,136000000.0,136000000.0,136000000.0,136000000.0,81000000.0,81000000.0,81000000.0,81000000.0,56000000.0,56000000.0,56000000.0,56000000.0,58000000.0,58000000.0,58000000.0
IncomeTaxExpenseBenefit / USD,820000000.0,167000000.0,260000000.0,284000000.0,596000000.0,52000000.0,59000000.0,166000000.0,-705000000.0,84000000.0,675000000.0,515000000.0,623000000.0,-2139000000.0,-3105000000.0,-3092000000.0,-164000000.0,478000000.0,499000000.0,261000000.0,-1744000000.0,45000000.0,-45000000.0,-88000000.0,504000000.0,-18000000.0,11000000.0,25000000.0,-120000000.0,-20000000.0,6000000.0,61000000.0,160000000.0,122000000.0,226000000.0,298000000.0,8000000.0,96000000.0,227000000.0,323000000.0
IncomeTaxReconciliationDispositionOfAssets / USD,,,,,-124000000.0,,,,-124000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,104000000.0,,-22000000.0,22000000.0
IncomeTaxReconciliationOtherReconcilingItems / USD,,6000000.0,-113000000.0,-146000000.0,,-110000000.0,-174000000.0,-49000000.0,,-31000000.0,525000000.0,236000000.0,,-2200000000.0,-3200000000.0,-3300000000.0,,428000000.0,383000000.0,80000000.0,-2000000000.0,-16000000.0,-167000000.0,253000000.0,152000000.0,-90000000.0,-124000000.0,-222000000.0,-362000000.0,-83000000.0,-121000000.0,-192000000.0,-294000000.0,-11000000.0,-25000000.0,-17000000.0,-454000000.0,0.0,0.0,0.0
IncomeTaxReconciliationTaxSettlementsDomestic / USD,,,,,,,,,,,,,,,,,,,,,,,,,,43000000.0,-43000000.0,-43000000.0,-43000000.0,43000000.0,-43000000.0,-43000000.0,-43000000.0,23000000.0,23000000.0,32000000.0,-43000000.0,22000000.0,-16000000.0,-16000000.0
IncomeTaxReconciliationTaxSettlementsForeign / USD,,,,,,,,,,,,,,,,,,,,,,,,,,16000000.0,-6000000.0,12000000.0,-11000000.0,-16000000.0,-6000000.0,-12000000.0,-11000000.0,,,,11000000.0,,,
IncomeTaxesPaidNet / USD,354000000.0,,,,302000000.0,,,,192000000.0,,,,656000000.0,,,,836000000.0,,,,538000000.0,,,,518000000.0,,,,297000000.0,,,,398000000.0,,,,107000000.0,,,
IncreaseDecreaseInAccountsPayableTrade / USD,472000000.0,-467000000.0,-577000000.0,7000000.0,611000000.0,-788000000.0,-412000000.0,-683000000.0,868000000.0,-231000000.0,129000000.0,652000000.0,66000000.0,-107000000.0,177000000.0,72000000.0,992000000.0,-256000000.0,-565000000.0,-826000000.0,-27000000.0,-250000000.0,-73000000.0,431000000.0,-525000000.0,-161000000.0,164000000.0,1150000000.0,-225000000.0,-438000000.0,-1323000000.0,-171000000.0,1608000000.0,-2195000000.0,-3220000000.0,-3146000000.0,1707000000.0,1041000000.0,3026000000.0,3002000000.0
IncreaseDecreaseInAccountsReceivable / USD,-580000000.0,-682000000.0,-482000000.0,-591000000.0,-986000000.0,-612000000.0,-366000000.0,-988000000.0,-9000000.0,-466000000.0,-301000000.0,-250000000.0,-991000000.0,34000000.0,42000000.0,-137000000.0,-457000000.0,-113000000.0,-143000000.0,-315000000.0,220000000.0,-82000000.0,-323000000.0,-69000000.0,-374000000.0,-446000000.0,-432000000.0,-61000000.0,461000000.0,-543000000.0,-817000000.0,-557000000.0,591000000.0,112000000.0,-370000000.0,-623000000.0,186000000.0,310000000.0,376000000.0,383000000.0
IncreaseDecreaseInAccruedIncomeTaxesPayable / USD,532000000.0,1333000000.0,1368000000.0,1332000000.0,404000000.0,-440000000.0,-347000000.0,781000000.0,956000000.0,-22000000.0,-386000000.0,-602000000.0,1615000000.0,-1009000000.0,-2217000000.0,-2271000000.0,-265000000.0,-107000000.0,-185000000.0,-1121000000.0,-4516000000.0,-27000000.0,-125000000.0,-85000000.0,-1093000000.0,-34000000.0,-30000000.0,-6000000.0,-122000000.0,-111000000.0,35000000.0,39000000.0,-73000000.0,46000000.0,-1000000.0,26000000.0,150000000.0,67000000.0,95000000.0,108000000.0
IncreaseDecreaseInEquitySecuritiesFvNi / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-38000000.0,-38000000.0
IncreaseDecreaseInFinanceReceivables / USD,-478000000.0,63000000.0,71000000.0,128000000.0,-428000000.0,-60000000.0,209000000.0,252000000.0,393000000.0,-126000000.0,-120000000.0,127000000.0,301000000.0,287000000.0,272000000.0,228000000.0,462000000.0,156000000.0,32000000.0,325000000.0,366000000.0,104000000.0,73000000.0,411000000.0,410000000.0,120000000.0,104000000.0,-26000000.0,487000000.0,-181000000.0,-470000000.0,-573000000.0,165000000.0,523000000.0,666000000.0,870000000.0,-694000000.0,190000000.0,327000000.0,311000000.0
IncreaseDecreaseInInventories / USD,251000000.0,134000000.0,219000000.0,464000000.0,-69000000.0,182000000.0,186000000.0,-3000000.0,424000000.0,132000000.0,210000000.0,341000000.0,-34000000.0,146000000.0,587000000.0,545000000.0,542000000.0,-99000000.0,-153000000.0,-66000000.0,260000000.0,204000000.0,1196000000.0,1253000000.0,-46000000.0,148000000.0,497000000.0,1352000000.0,527000000.0,834000000.0,861000000.0,1100000000.0,1959000000.0,-495000000.0,-782000000.0,-491000000.0,713000000.0,1461000000.0,2808000000.0,3195000000.0
IncreaseDecreaseInOtherOperatingCapitalNet / USD,461000000.0,976000000.0,1137000000.0,932000000.0,1906000000.0,1110000000.0,1155000000.0,1542000000.0,2222000000.0,2529000000.0,2672000000.0,2379000000.0,1773000000.0,-817000000.0,-737000000.0,-775000000.0,2503000000.0,568000000.0,520000000.0,-626000000.0,-1197000000.0,633000000.0,717000000.0,129000000.0,-204000000.0,62000000.0,270000000.0,203000000.0,-54000000.0,627000000.0,1002000000.0,1592000000.0,-337000000.0,-240000000.0,-307000000.0,-794000000.0,1888000000.0,233000000.0,764000000.0,447000000.0
IncreaseDecreaseInRestructuringReserve / USD,,,,,,,,,,,,,,,,-540000000.0,-800000000.0,-110000000.0,-198000000.0,-261000000.0,-647000000.0,-87000000.0,-244000000.0,-350000000.0,-331000000.0,-220000000.0,-324000000.0,-426000000.0,-478000000.0,-114000000.0,-197000000.0,-267000000.0,-527000000.0,-96000000.0,-147000000.0,-201000000.0,-334000000.0,-78000000.0,-121000000.0,-144000000.0
IncrementalCommonSharesAttributableToConversionOfPreferredStock / shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements / shares,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,17000000.0,22000000.0,26000000.0,30000000.0,31000000.0,0.0,27000000.0,24000000.0,28000000.0,30000000.0,26000000.0,28000000.0,11000000.0,13000000.0,13000000.0,24000000.0,15000000.0,0.0,0.0,13000000.0,15000000.0,19000000.0,20000000.0,0.0,21000000.0,21000000.0,20000000.0,21000000.0,17000000.0,16000000.0,17000000.0,19000000.0,15000000.0,14000000.0,17000000.0
IntangibleAssetsGrossExcludingGoodwill / USD,,,,,,,,,,,,,,,,,,,,,1987000000.0,,,,1943000000.0,,,,1807000000.0,,,,1782000000.0,,,,1665000000.0,,,
IntangibleAssetsNetExcludingGoodwill / USD,2057000000.0,1930000000.0,1930000000.0,1930000000.0,1930000000.0,1084000000.0,1084000000.0,1084000000.0,675000000.0,1042000000.0,1042000000.0,1042000000.0,1042000000.0,789000000.0,789000000.0,789000000.0,789000000.0,1128000000.0,1128000000.0,1128000000.0,1128000000.0,1103000000.0,1103000000.0,1103000000.0,1103000000.0,1022000000.0,1022000000.0,1022000000.0,1022000000.0,733000000.0,733000000.0,733000000.0,733000000.0,654000000.0,654000000.0,654000000.0,654000000.0,510000000.0,510000000.0,510000000.0
InterestExpense / USD,369000000.0,73000000.0,144000000.0,209000000.0,322000000.0,138000000.0,271000000.0,408000000.0,249000000.0,,,,547000000.0,,,,599000000.0,,,,631000000.0,,,,608000000.0,,,,603000000.0,,,,501000000.0,,,,471000000.0,,,
InterestExpenseDebt / USD,57000000.0,10000000.0,20000000.0,27000000.0,45000000.0,80000000.0,152000000.0,225000000.0,9000000.0,,,,298000000.0,,,,334000000.0,,,,353000000.0,,,,311000000.0,,,,332000000.0,,,,289000000.0,,,,260000000.0,,,
InterestIncomeOperating / USD,,,,,,,,,,,,,,,,,396000000.0,,,,447000000.0,113000000.0,228000000.0,343000000.0,458000000.0,122000000.0,246000000.0,371000000.0,469000000.0,122000000.0,244000000.0,365000000.0,494000000.0,123000000.0,253000000.0,395000000.0,483000000.0,156000000.0,318000000.0,486000000.0
InterestPaidNet / USD,,,,,,,,,,,,,,,,,415000000.0,,,,609000000.0,,,,593000000.0,,,,574000000.0,,,,486000000.0,,,,453000000.0,,,
InventoryFinishedGoodsNetOfReserves / USD,1287000000.0,1518000000.0,1518000000.0,1518000000.0,1518000000.0,1202000000.0,1182000000.0,1182000000.0,1170000000.0,1236000000.0,1236000000.0,1236000000.0,1236000000.0,1274000000.0,1274000000.0,1274000000.0,1274000000.0,1198000000.0,1198000000.0,1198000000.0,1198000000.0,1197000000.0,1197000000.0,1197000000.0,1197000000.0,1684000000.0,1684000000.0,1593000000.0,1593000000.0,2187000000.0,2187000000.0,2187000000.0,2187000000.0,1667000000.0,1667000000.0,1667000000.0,1667000000.0,2369000000.0,2369000000.0,2369000000.0
InventoryNet / USD,1884000000.0,2198000000.0,2198000000.0,2198000000.0,2198000000.0,1774000000.0,1740000000.0,1740000000.0,1720000000.0,2315000000.0,2315000000.0,2315000000.0,2315000000.0,2447000000.0,2447000000.0,2447000000.0,2447000000.0,2387000000.0,2387000000.0,2387000000.0,2387000000.0,2674000000.0,2674000000.0,2674000000.0,2674000000.0,4511000000.0,4511000000.0,4511000000.0,4511000000.0,5161000000.0,5161000000.0,5161000000.0,5161000000.0,4607000000.0,4607000000.0,4607000000.0,4607000000.0,7810000000.0,7810000000.0,7810000000.0
InventoryWorkInProcessAndRawMaterialsNetOfReserves / USD,597000000.0,680000000.0,680000000.0,680000000.0,680000000.0,572000000.0,558000000.0,558000000.0,550000000.0,1079000000.0,1079000000.0,1079000000.0,1079000000.0,1173000000.0,1173000000.0,1173000000.0,1173000000.0,1189000000.0,1189000000.0,1189000000.0,1189000000.0,1477000000.0,1477000000.0,1477000000.0,1477000000.0,2827000000.0,2827000000.0,2918000000.0,2918000000.0,2974000000.0,2974000000.0,2974000000.0,2974000000.0,2940000000.0,2940000000.0,2940000000.0,2940000000.0,5441000000.0,5441000000.0,5441000000.0
InventoryWriteDown / USD,161000000.0,27000000.0,57000000.0,94000000.0,125000000.0,33000000.0,83000000.0,128000000.0,155000000.0,,,,232000000.0,,,,129000000.0,,,,198000000.0,,,,240000000.0,,,,308000000.0,,,,176000000.0,,,,262000000.0,32000000.0,89000000.0,89000000.0
InvestmentIncomeInterest / USD,72000000.0,,,,64000000.0,,,,54000000.0,,,,105000000.0,,,,104000000.0,,,,104000000.0,,,,64000000.0,,,,44000000.0,,,,18000000.0,,,,39000000.0,,,
LeaseCost / USD,,,,,,,,,,,,,,,,,,44000000.0,91000000.0,140000000.0,183000000.0,,,,183000000.0,,,,183000000.0,,,,177000000.0,,,,175000000.0,,,
LeaseIncome / USD,,,,,,,,,,,,,,,,,,738000000.0,1461000000.0,2164000000.0,3137000000.0,738000000.0,1461000000.0,2164000000.0,3054000000.0,726000000.0,1445000000.0,2168000000.0,2900000000.0,694000000.0,1393000000.0,2084000000.0,2877000000.0,712000000.0,1447000000.0,2195000000.0,2779000000.0,755000000.0,1511000000.0,2257000000.0
LesseeOperatingLeaseLiabilityPaymentsDue / USD,,,,,,,,,,,,,,,,,1243000000.0,1277000000.0,1222000000.0,1181000000.0,1184000000.0,,,,1268000000.0,,,,1160000000.0,,,,1332000000.0,,,,1816000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive / USD,,,,,,,,,,,,,,,,,541000000.0,437000000.0,444000000.0,,342000000.0,,,,412000000.0,,,,389000000.0,,,,365000000.0,,,,468000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths / USD,,,,,,,,,,,,,,,,,233000000.0,,,199000000.0,207000000.0,,,,219000000.0,,,,196000000.0,,,,234000000.0,,,,321000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearFive / USD,,,,,,,,,,,,,,,,,127000000.0,135000000.0,135000000.0,,128000000.0,,,,123000000.0,,,,121000000.0,,,,151000000.0,,,,201000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearFour / USD,,,,,,,,,,,,,,,,,149000000.0,157000000.0,158000000.0,138000000.0,147000000.0,,,,146000000.0,,,,132000000.0,,,,176000000.0,,,,249000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearThree / USD,,,,,,,,,,,,,,,,,164000000.0,174000000.0,175000000.0,161000000.0,172000000.0,,,,170000000.0,,,,151000000.0,,,,191000000.0,,,,281000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearTwo / USD,,,,,,,,,,,,,,,,,187000000.0,195000000.0,194000000.0,179000000.0,188000000.0,,,,198000000.0,,,,171000000.0,,,,215000000.0,,,,296000000.0,,,
LesseeOperatingLeaseLiabilityUndiscountedExcessAmount / USD,,,,,,,,,,,,,,,,,,134000000.0,108000000.0,92000000.0,98000000.0,,,,138000000.0,,,,141000000.0,,,,172000000.0,,,,246000000.0,,,
LessorOperatingLeasePaymentsToBeReceived / USD,,,,,,,,,,,,,,,,,8691000000.0,3439000000.0,3322000000.0,3421000000.0,3374000000.0,3357000000.0,3268000000.0,3262000000.0,3406000000.0,3243000000.0,3247000000.0,3310000000.0,3468000000.0,,,,3508000000.0,,,,3037000000.0,,,
LessorOperatingLeasePaymentsToBeReceivedFiveYears / USD,,,,,,,,,,,,,,,,,306000000.0,28000000.0,34000000.0,,7000000.0,,,,26000000.0,,,,2000000.0,,,,4000000.0,,,,3000000.0,,,
LessorOperatingLeasePaymentsToBeReceivedFourYears / USD,,,,,,,,,,,,,,,,,752000000.0,113000000.0,188000000.0,54000000.0,78000000.0,11000000.0,18000000.0,44000000.0,89000000.0,20000000.0,33000000.0,47000000.0,87000000.0,,,,59000000.0,,,,36000000.0,,,
LessorOperatingLeasePaymentsToBeReceivedNextTwelveMonths / USD,,,,,,,,,,,,,,,,,3939000000.0,,,1641000000.0,1798000000.0,1219000000.0,1358000000.0,1524000000.0,1744000000.0,1214000000.0,1374000000.0,1535000000.0,1737000000.0,,,,1820000000.0,,,,1696000000.0,,,
LessorOperatingLeasePaymentsToBeReceivedThereafter / USD,,,,,,,,,,,,,,,,,69000000.0,2000000.0,2000000.0,,2000000.0,,,,,,,,1000000.0,,,,0.0,,,,1000000.0,,,
LessorOperatingLeasePaymentsToBeReceivedThreeYears / USD,,,,,,,,,,,,,,,,,1555000000.0,556000000.0,702000000.0,308000000.0,440000000.0,117000000.0,197000000.0,300000000.0,457000000.0,118000000.0,207000000.0,323000000.0,515000000.0,,,,451000000.0,,,,339000000.0,,,
LessorOperatingLeasePaymentsToBeReceivedTwoYears / USD,,,,,,,,,,,,,,,,,2449000000.0,1295000000.0,1424000000.0,894000000.0,1049000000.0,577000000.0,734000000.0,873000000.0,1090000000.0,571000000.0,733000000.0,917000000.0,1126000000.0,,,,1174000000.0,,,,962000000.0,,,
LiabilitiesAndStockholdersEquity / USD,65071000000.0,79916000000.0,79916000000.0,79916000000.0,79916000000.0,79629000000.0,79629000000.0,79629000000.0,79629000000.0,61406000000.0,61406000000.0,61406000000.0,61406000000.0,55493000000.0,55493000000.0,55493000000.0,55493000000.0,51803000000.0,51803000000.0,51803000000.0,51803000000.0,54015000000.0,54015000000.0,54015000000.0,54015000000.0,57699000000.0,57699000000.0,57699000000.0,57699000000.0,57123000000.0,57123000000.0,57123000000.0,57123000000.0,57153000000.0,57153000000.0,57153000000.0,57153000000.0,71262000000.0,71262000000.0,71262000000.0
LiabilitiesCurrent / USD,19760000000.0,21993000000.0,21993000000.0,21993000000.0,21993000000.0,22529000000.0,22529000000.0,22529000000.0,22529000000.0,18924000000.0,18924000000.0,18924000000.0,18924000000.0,17198000000.0,17198000000.0,17198000000.0,17198000000.0,19159000000.0,19159000000.0,19159000000.0,19159000000.0,18738000000.0,18738000000.0,18738000000.0,18738000000.0,20687000000.0,20687000000.0,20687000000.0,20687000000.0,23174000000.0,23174000000.0,23174000000.0,23174000000.0,21882000000.0,21882000000.0,21882000000.0,21882000000.0,25973000000.0,25973000000.0,25973000000.0
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperation / USD,,,727000000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,32000000.0,32000000.0,32000000.0
LongTermDebt / USD,,,,,,,,,,,,,,,,,,,,18134000000.0,14797000000.0,15941000000.0,15941000000.0,15941000000.0,12457000000.0,13448000000.0,13448000000.0,13448000000.0,11943000000.0,12465000000.0,12465000000.0,12465000000.0,11694000000.0,12355000000.0,12355000000.0,12355000000.0,17660000000.0,18246000000.0,18246000000.0,22123000000.0
LongTermDebtAndCapitalLeaseObligations / USD,485000000.0,15103000000.0,15103000000.0,15103000000.0,15103000000.0,12560000000.0,12168000000.0,12168000000.0,12168000000.0,10182000000.0,10182000000.0,10182000000.0,10182000000.0,10136000000.0,10136000000.0,10136000000.0,10136000000.0,9395000000.0,9395000000.0,9395000000.0,9395000000.0,12186000000.0,12186000000.0,12186000000.0,12186000000.0,9896000000.0,9896000000.0,9896000000.0,9896000000.0,7853000000.0,7853000000.0,7853000000.0,7853000000.0,7487000000.0,7487000000.0,7487000000.0,7487000000.0,13504000000.0,13504000000.0,13504000000.0
LongTermDebtAndCapitalLeaseObligationsCurrent / USD,127000000.0,161000000.0,161000000.0,161000000.0,161000000.0,2774000000.0,2772000000.0,2772000000.0,2772000000.0,,,3005000000.0,3005000000.0,,,,1196000000.0,,,,3441000000.0,,,,2768000000.0,,,,2613000000.0,,,,3876000000.0,,,,4022000000.0,,,
LongTermDebtCurrent / USD,,,,,,,,,,3005000000.0,3005000000.0,3005000000.0,,1196000000.0,1196000000.0,1196000000.0,,3441000000.0,3441000000.0,3441000000.0,3441000000.0,2768000000.0,2768000000.0,2768000000.0,2768000000.0,2613000000.0,2613000000.0,2613000000.0,2613000000.0,3876000000.0,3876000000.0,3876000000.0,3876000000.0,4022000000.0,4022000000.0,4022000000.0,4022000000.0,3969000000.0,3969000000.0,3969000000.0
LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive / USD,,,,,,,,,,,,,,,,,,,,,3033000000.0,,,,2276000000.0,,,,2270000000.0,,,,2261000000.0,,,,7003000000.0,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths / USD,,,,,,,,,,,,,,,,,,,,2780000000.0,2776000000.0,,,,2602000000.0,,,,3882000000.0,,,,4030000000.0,,,,4032000000.0,,,3411000000.0
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive / USD,,,,,,,,,,,,,,,,,,,,,2507000000.0,,,,761000000.0,,,,10000000.0,,,,557000000.0,,,,1758000000.0,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour / USD,,,,,,,,,,,,,,,,,,,,2018000000.0,2010000000.0,,,,2516000000.0,,,,770000000.0,,,,9000000.0,,,,612000000.0,,,2345000000.0
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree / USD,,,,,,,,,,,,,,,,,,,,2483000000.0,2509000000.0,,,,1248000000.0,,,,2973000000.0,,,,1351000000.0,,,,1545000000.0,,,3750000000.0
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo / USD,,,,,,,,,,,,,,,,,,,,1967000000.0,1962000000.0,,,,3054000000.0,,,,2038000000.0,,,,3486000000.0,,,,2710000000.0,,,1812000000.0
LongTermDebtNoncurrent / USD,,,,,,,,,,,,,,,,,,,,,,12186000000.0,12186000000.0,12186000000.0,,9896000000.0,9896000000.0,9896000000.0,,7853000000.0,7853000000.0,7853000000.0,,7487000000.0,7487000000.0,7487000000.0,,13504000000.0,13504000000.0,13504000000.0
LossContingencyDamagesSoughtValue / USD,,,,370000000.0,370000000.0,370000000.0,370000000.0,370000000.0,370000000.0,370000000.0,370000000.0,370000000.0,370000000.0,370000000.0,370000000.0,370000000.0,370000000.0,370000000.0,370000000.0,370000000.0,370000000.0,370000000.0,370000000.0,370000000.0,370000000.0,370000000.0,370000000.0,370000000.0,370000000.0,,,,370000000.0,,,,370000000.0,,,4000000000.0
MinorityInterest / USD,396000000.0,383000000.0,383000000.0,383000000.0,383000000.0,70000000.0,,,,,,,,,,35000000.0,,51000000.0,51000000.0,51000000.0,,47000000.0,47000000.0,47000000.0,,46000000.0,46000000.0,46000000.0,,45000000.0,45000000.0,45000000.0,,56000000.0,56000000.0,56000000.0,,,,
NetCashProvidedByUsedInFinancingActivities / USD,,,,1470000000.0,-3800000000.0,-570000000.0,-706000000.0,-2198000000.0,9275000000.0,-782000000.0,-625000000.0,-1310000000.0,-2330000000.0,-929000000.0,-1713000000.0,-4341000000.0,164000000.0,-945000000.0,-1600000000.0,-2239000000.0,-5592000000.0,-385000000.0,1997000000.0,4522000000.0,-1548000000.0,-459000000.0,-419000000.0,-167000000.0,883000000.0,355000000.0,-260000000.0,-216000000.0,-3364000000.0,9000000.0,163000000.0,-168000000.0,-1796000000.0,53000000.0,-1676000000.0,-1372000000.0
NetCashProvidedByUsedInInvestingActivities / USD,,,,-4834000000.0,-2974000000.0,-692000000.0,-1121000000.0,630000000.0,-5413000000.0,-1157000000.0,-3810000000.0,-4424000000.0,419000000.0,-1131000000.0,-1280000000.0,-1640000000.0,-5349000000.0,-616000000.0,-1064000000.0,-1399000000.0,-1880000000.0,-64000000.0,-104000000.0,-1154000000.0,-3457000000.0,-652000000.0,-1231000000.0,-1717000000.0,-2578000000.0,-335000000.0,-827000000.0,-1224000000.0,-2796000000.0,-1237000000.0,-2170000000.0,-3186000000.0,-2087000000.0,-740000000.0,-1107000000.0,-1580000000.0
NetCashProvidedByUsedInOperatingActivities / USD,,,,3819000000.0,6911000000.0,-75000000.0,1032000000.0,2746000000.0,3661000000.0,-1190000000.0,-451000000.0,504000000.0,5056000000.0,142000000.0,389000000.0,1638000000.0,1335000000.0,382000000.0,1369000000.0,2565000000.0,2964000000.0,-79000000.0,21000000.0,1493000000.0,3997000000.0,963000000.0,1785000000.0,2915000000.0,2240000000.0,-76000000.0,303000000.0,1557000000.0,5871000000.0,-829000000.0,60000000.0,1585000000.0,4593000000.0,64000000.0,1157000000.0,2311000000.0
