fact_unit,2018-08-30,2019-08-23,2020-08-14,2021-08-13,2022-08-19,2022-11-04,2023-02-03,2023-05-05,2023-08-18,2023-11-03,2024-02-02,2024-04-26,2024-08-16,2024-11-01,2025-01-31,2025-05-02,2025-08-15,2025-10-31
EquitySecuritiesFvNiUnrealizedGainLoss / USD,,,,,,-35810000.0,-57945000.0,-76967000.0,34290000.0,-9808000.0,-11477000.0,-9737000.0,-79608000.0,,,,-11437000.0,0.0
EquitySecuritiesWithoutReadilyDeterminableFairValueDownwardPriceAdjustmentAnnualAmount / USD,,,,,,,6200000.0,5900000.0,5900000.0,5900000.0,5900000.0,5900000.0,5900000.0,,,,7500000.0,
EquitySecuritiesWithoutReadilyDeterminableFairValueDownwardPriceAdjustmentCumulativeAmount / USD,,,,,,,,,,,,,,7500000.0,7500000.0,7500000.0,,8500000.0
EquitySecuritiesWithoutReadilyDeterminableFairValueUpwardPriceAdjustmentAnnualAmount / USD,,,,,,,5500000.0,6700000.0,6700000.0,5500000.0,5500000.0,5500000.0,5500000.0,,,,5000000.0,
EquitySecuritiesWithoutReadilyDeterminableFairValueUpwardPriceAdjustmentCumulativeAmount / USD,,,,,,,,,,,,,,5000000.0,5000000.0,5000000.0,,6600000.0
FiniteLivedIntangibleAssetsAccumulatedAmortization / USD,,,,,,296673000.0,296673000.0,296673000.0,296673000.0,329641000.0,329641000.0,329641000.0,329641000.0,377310000.0,377310000.0,377310000.0,377310000.0,428707000.0
FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive / USD,,,,,,,,,,,,,58188000.0,,,,20479000.0,
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths / USD,,,,,,26266000.0,26267000.0,26267000.0,26229000.0,15208000.0,54903000.0,54903000.0,55243000.0,53030000.0,53030000.0,53030000.0,53030000.0,49036000.0
FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear / USD,,,,,,24607000.0,16310000.0,8155000.0,,17999000.0,31581000.0,15387000.0,,41635000.0,27738000.0,13842000.0,,40395000.0
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive / USD,,,,,,,,,,,,,40076000.0,,,,37708000.0,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour / USD,,,,,,7267000.0,7267000.0,7267000.0,7839000.0,5274000.0,44968000.0,44968000.0,45309000.0,40128000.0,40128000.0,40128000.0,40128000.0,37870000.0
